iter	Passed	Remaining
928	25462	29354
929	25490	29327
930	25518	29300
931	25544	29272
932	25572	29244
933	25600	29218
934	25627	29190
935	25654	29162
936	25680	29134
937	25707	29105
938	25734	29077
939	25760	29049
940	25786	29020
941	25814	28992
942	25842	28967
943	25869	28938
944	25897	28912
945	25925	28885
946	25952	28857
947	25978	28828
948	26006	28801
949	26035	28776
950	26061	28747
951	26088	28718
952	26114	28689
953	26141	28662
954	26168	28635
955	26195	28607
956	26225	28581
957	26252	28553
958	26278	28525
959	26306	28499
960	26336	28473
961	26365	28447
962	26392	28420
963	26419	28392
964	26445	28363
965	26473	28336
966	26499	28308
967	26526	28280
968	26554	28253
969	26581	28225
970	26609	28198
971	26636	28170
972	26662	28142
973	26688	28113
974	26714	28084
975	26742	28057
976	26769	28030
977	26797	28002
978	26824	27975
979	26852	27948
980	26878	27920
981	26905	27891
982	26932	27863
983	26960	27837
984	26987	27809
985	27013	27781
986	27040	27753
987	27067	27724
988	27094	27696
989	27121	27669
990	27147	27640
991	27174	27612
992	27205	27589
993	27233	27562
994	27262	27536
995	27290	27509
996	27319	27483
997	27348	27458
998	27375	27430
999	27404	27404
1000	27430	27375
1001	27456	27347
1002	27483	27318
1003	27509	27290
1004	27535	27261
1005	27563	27234
1006	27589	27206
1007	27616	27178
1008	27642	27149
1009	27669	27121
1010	27696	27093
1011	27722	27065
1012	27749	27037
1013	27776	27009
1014	27803	26981
1015	27832	26956
1016	27860	26929
1017	27887	26901
1018	27914	26873
1019	27940	26845
1020	27968	26818
1021	27995	26790
1022	28024	26764
1023	28052	26737
1024	28082	26712
1025	28109	26685
1026	28136	26656
1027	28162	26628
1028	28190	26601
1029	28217	26573
1030	28245	26547
1031	28272	26518
1032	28301	26493
1033	28331	26468
1034	28361	26443
1035	28388	26415
1036	28416	26388
1037	28443	26360
1038	28470	26332
1039	28496	26304
1040	28523	26276
1041	28551	26249
1042	28577	26221
1043	28603	26192
1044	28629	26163
1045	28655	26135
1046	28682	26107
1047	28711	26081
1048	28738	26053
1049	28766	26027
1050	28795	26000
1051	28822	25972
1052	28850	25946
1053	28879	25920
1054	28907	25893
1055	28937	25868
1056	28965	25841
1057	28993	25815
1058	29021	25787
1059	29049	25760
1060	29077	25734
1061	29105	25707
1062	29133	25680
1063	29164	25655
1064	29191	25628
1065	29218	25600
1066	29246	25573
1067	29273	25546
1068	29301	25519
1069	29333	25495
1070	29361	25468
1071	29390	25442
1072	29416	25413
1073	29442	25385
1074	29470	25358
1075	29496	25329
